ICDCMCode,DiagnosisDesc,TotalDiag
T23.169A,"BURN OF FIRST DEGREE OF BACK OF UNSP HAND, INIT ENCNTR",1
T23.171A,"BURN OF FIRST DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",177
T23.171D,"BURN OF FIRST DEGREE OF RIGHT WRIST, SUBSEQUENT ENCOUNTER",3
T23.172A,"BURN OF FIRST DEGREE OF LEFT WRIST, INITIAL ENCOUNTER",164
T23.172D,"BURN OF FIRST DEGREE OF LEFT WRIST, SUBSEQUENT ENCOUNTER",3
T23.191A,"BURN OF FIRST DEG MULT SITES OF RIGHT WRIST AND HAND, INIT",38
T23.192A,"BURN OF FIRST DEG MULT SITES OF LEFT WRIST AND HAND, INIT",24
T23.192D,"BURN OF FIRST DEG MULT SITES OF LEFT WRIST AND HAND, SUBS",1
T23.201A,"BURN OF SECOND DEGREE OF RIGHT HAND, UNSP SITE, INIT ENCNTR",1286
T23.201D,"BURN OF SECOND DEGREE OF RIGHT HAND, UNSP SITE, SUBS ENCNTR",40
T23.201S,"BURN OF SECOND DEGREE OF RIGHT HAND, UNSP SITE, SEQUELA",3
T23.202A,"BURN OF SECOND DEGREE OF LEFT HAND, UNSP SITE, INIT ENCNTR",1168
T23.202D,"BURN OF SECOND DEGREE OF LEFT HAND, UNSP SITE, SUBS ENCNTR",42
T23.209A,"BURN OF SECOND DEGREE OF UNSP HAND, UNSP SITE, INIT ENCNTR",27
T23.209D,"BURN OF SECOND DEGREE OF UNSP HAND, UNSP SITE, SUBS ENCNTR",2
T23.211A,"BURN OF SECOND DEGREE OF RIGHT THUMB (NAIL), INIT ENCNTR",253
T23.211D,"BURN OF SECOND DEGREE OF RIGHT THUMB (NAIL), SUBS ENCNTR",6
T23.212A,"BURN OF SECOND DEGREE OF LEFT THUMB (NAIL), INIT ENCNTR",227
T23.212D,"BURN OF SECOND DEGREE OF LEFT THUMB (NAIL), SUBS ENCNTR",4
T23.219A,"BURN OF SECOND DEGREE OF UNSP THUMB (NAIL), INIT ENCNTR",2
T23.221A,"BURN SECOND DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",457
T23.221D,"BURN SECOND DEGREE OF SINGLE R FINGER EXCEPT THUMB, SUBS",12
T23.221S,"BURN SECOND DEGREE OF SINGLE R FINGER EXCEPT THUMB, SQLA",2
T23.222A,"BURN SECOND DEGREE OF SINGLE L FINGER EXCEPT THUMB, INIT",400
T23.222D,"BURN SECOND DEGREE OF SINGLE L FINGER EXCEPT THUMB, SUBS",10
T23.222S,"BURN SECOND DEGREE OF SINGLE L FINGER EXCEPT THUMB, SQLA",2
T23.229A,"BURN SECOND DEGREE OF UNSP SINGLE FINGER EXCEPT THUMB, INIT",9
T23.231A,"BURN 2ND DEG MUL RIGHT FINGERS (NAIL), NOT INC THUMB, INIT",577
T23.231D,"BURN 2ND DEG MUL RIGHT FINGERS (NAIL), NOT INC THUMB, SUBS",8
T23.231S,"BURN 2ND DEG MUL RIGHT FNGR (NAIL), NOT INC THUMB, SEQUELA",1
T23.232A,"BURN OF 2ND DEG MUL LEFT FINGERS (NAIL), NOT INC THUMB, INIT",469
T23.232D,"BURN OF 2ND DEG MUL LEFT FINGERS (NAIL), NOT INC THUMB, SUBS",5
T23.239A,"BURN SECOND DEGREE OF UNSP MULT FNGR, NOT INC THUMB, INIT",10
T23.241A,"BURN OF 2ND DEG MUL RIGHT FINGERS (NAIL), INC THUMB, INIT",240
T23.241D,"BURN OF 2ND DEG MUL RIGHT FINGERS (NAIL), INC THUMB, SUBS",8
T23.242A,"BURN OF 2ND DEG MUL LEFT FINGERS (NAIL), INC THUMB, INIT",201
T23.242D,"BURN OF 2ND DEG MUL LEFT FINGERS (NAIL), INC THUMB, SUBS",7
T23.249A,"BURN SECOND DEGREE OF UNSP MULT FNGR (NAIL), INC THUMB, INIT",4
T23.251A,"BURN OF SECOND DEGREE OF RIGHT PALM, INITIAL ENCOUNTER",662
T23.251D,"BURN OF SECOND DEGREE OF RIGHT PALM, SUBSEQUENT ENCOUNTER",14
T23.252A,"BURN OF SECOND DEGREE OF LEFT PALM, INITIAL ENCOUNTER",636
T23.252D,"BURN OF SECOND DEGREE OF LEFT PALM, SUBSEQUENT ENCOUNTER",11
T23.259A,"BURN OF SECOND DEGREE OF UNSPECIFIED PALM, INITIAL ENCOUNTER",2
T23.261A,"BURN OF SECOND DEGREE OF BACK OF RIGHT HAND, INIT ENCNTR",613
T23.261D,"BURN OF SECOND DEGREE OF BACK OF RIGHT HAND, SUBS ENCNTR",18
T23.262A,"BURN OF SECOND DEGREE OF BACK OF LEFT HAND, INIT ENCNTR",611
T23.262D,"BURN OF SECOND DEGREE OF BACK OF LEFT HAND, SUBS ENCNTR",17
T23.262S,"BURN OF SECOND DEGREE OF BACK OF LEFT HAND, SEQUELA",1
T23.269A,"BURN OF SECOND DEGREE OF BACK OF UNSP HAND, INIT ENCNTR",7
T23.271A,"BURN OF SECOND DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",441
T23.271D,"BURN OF SECOND DEGREE OF RIGHT WRIST, SUBSEQUENT ENCOUNTER",11
T23.272A,"BURN OF SECOND DEGREE OF LEFT WRIST, INITIAL ENCOUNTER",390
T23.272D,"BURN OF SECOND DEGREE OF LEFT WRIST, SUBSEQUENT ENCOUNTER",13
T23.272S,"BURN OF SECOND DEGREE OF LEFT WRIST, SEQUELA",3
T23.279A,"BURN OF SECOND DEGREE OF UNSPECIFIED WRIST, INIT ENCNTR",2
T23.291A,"BURN OF 2ND DEG MUL SITES OF RIGHT WRIST AND HAND, INIT",155
T23.291D,"BURN OF 2ND DEG MUL SITES OF RIGHT WRIST AND HAND, SUBS",5
T23.291S,"BURN OF 2ND DEG MUL SITES OF RIGHT WRIST AND HAND, SEQUELA",1
T23.292A,"BURN OF 2ND DEG MUL SITES OF LEFT WRIST AND HAND, INIT",167
T23.292D,"BURN OF 2ND DEG MUL SITES OF LEFT WRIST AND HAND, SUBS",5
T23.292S,"BURN OF 2ND DEG MUL SITES OF LEFT WRIST AND HAND, SEQUELA",1
T23.299A,"BURN OF 2ND DEG MUL SITES OF UNSP WRIST AND HAND, INIT",4
T23.301A,"BURN OF THIRD DEGREE OF RIGHT HAND, UNSP SITE, INIT ENCNTR",54
T23.301D,"BURN OF THIRD DEGREE OF RIGHT HAND, UNSP SITE, SUBS ENCNTR",12
T23.301S,"BURN OF THIRD DEGREE OF RIGHT HAND, UNSP SITE, SEQUELA",1
T23.302A,"BURN OF THIRD DEGREE OF LEFT HAND, UNSP SITE, INIT ENCNTR",59
T23.302D,"BURN OF THIRD DEGREE OF LEFT HAND, UNSP SITE, SUBS ENCNTR",9
T23.302S,"BURN OF THIRD DEGREE OF LEFT HAND, UNSPECIFIED SITE, SEQUELA",1
T23.311A,"BURN OF THIRD DEGREE OF RIGHT THUMB (NAIL), INIT ENCNTR",14
T23.312A,"BURN OF THIRD DEGREE OF LEFT THUMB (NAIL), INITIAL ENCOUNTER",2
T23.312D,"BURN OF THIRD DEGREE OF LEFT THUMB (NAIL), SUBS ENCNTR",3
T23.321A,"BURN THIRD DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",18
T23.321D,"BURN THIRD DEGREE OF SINGLE R FINGER EXCEPT THUMB, SUBS",4
T23.322A,"BURN THIRD DEGREE OF SINGLE L FINGER EXCEPT THUMB, INIT",15
T23.322D,"BURN THIRD DEGREE OF SINGLE L FINGER EXCEPT THUMB, SUBS",4
T23.331A,"BURN OF 3RD DEG MU RIGHT FINGERS (NAIL), NOT INC THUMB, INIT",14
T23.332A,"BURN OF 3RD DEG MU LEFT FINGERS (NAIL), NOT INC THUMB, INIT",19
T23.332D,"BURN OF 3RD DEG MU LEFT FINGERS (NAIL), NOT INC THUMB, SUBS",1
T23.341A,"BURN OF 3RD DEG MU RIGHT FINGERS (NAIL), INC THUMB, INIT",10
T23.341D,"BURN OF 3RD DEG MU RIGHT FINGERS (NAIL), INC THUMB, SUBS",2
T23.342A,"BURN OF 3RD DEG MU LEFT FINGERS (NAIL), INC THUMB, INIT",11
T23.351A,"BURN OF THIRD DEGREE OF RIGHT PALM, INITIAL ENCOUNTER",16
T23.351D,"BURN OF THIRD DEGREE OF RIGHT PALM, SUBSEQUENT ENCOUNTER",1
T23.352A,"BURN OF THIRD DEGREE OF LEFT PALM, INITIAL ENCOUNTER",13
T23.361A,"BURN OF THIRD DEGREE OF BACK OF RIGHT HAND, INIT ENCNTR",15
T23.362A,"BURN OF THIRD DEGREE OF BACK OF LEFT HAND, INITIAL ENCOUNTER",19
T23.362D,"BURN OF THIRD DEGREE OF BACK OF LEFT HAND, SUBS ENCNTR",1
T23.371A,"BURN OF THIRD DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",6
T23.371D,"BURN OF THIRD DEGREE OF RIGHT WRIST, SUBSEQUENT ENCOUNTER",1
T23.372A,"BURN OF THIRD DEGREE OF LEFT WRIST, INITIAL ENCOUNTER",4
T23.391A,"BURN OF 3RD DEG MU SITES OF RIGHT WRIST AND HAND, INIT",16
T23.391D,"BURN OF 3RD DEG MU SITES OF RIGHT WRIST AND HAND, SUBS",5
T23.392A,"BURN OF 3RD DEG MU SITES OF LEFT WRIST AND HAND, INIT",14
T23.392D,"BURN OF 3RD DEG MU SITES OF LEFT WRIST AND HAND, SUBS",1
T23.401A,"CORROSION OF UNSP DEGREE OF RIGHT HAND, UNSP SITE, INIT",55
T23.401D,"CORROSION OF UNSP DEGREE OF RIGHT HAND, UNSP SITE, SUBS",2
T23.401S,"CORROSION OF UNSP DEGREE OF RIGHT HAND, UNSP SITE, SEQUELA",1
T23.402A,"CORROSION OF UNSP DEGREE OF LEFT HAND, UNSP SITE, INIT",41
T23.402D,"CORROSION OF UNSP DEGREE OF LEFT HAND, UNSP SITE, SUBS",3
T23.402S,"CORROSION OF UNSP DEGREE OF LEFT HAND, UNSP SITE, SEQUELA",2
T23.409A,"CORROSION OF UNSP DEGREE OF UNSP HAND, UNSP SITE, INIT",2
T23.409D,"CORROSION OF UNSP DEGREE OF UNSP HAND, UNSP SITE, SUBS",1
T23.411A,"CORROSION OF UNSP DEGREE OF RIGHT THUMB (NAIL), INIT ENCNTR",4
T23.412A,"CORROSION OF UNSP DEGREE OF LEFT THUMB (NAIL), INIT ENCNTR",3
T23.412D,"CORROSION OF UNSP DEGREE OF LEFT THUMB (NAIL), SUBS ENCNTR",1
T23.421A,"CORROS UNSP DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",6
T23.421D,"CORROS UNSP DEGREE OF SINGLE R FINGER EXCEPT THUMB, SUBS",1
T23.422A,"CORROS UNSP DEGREE OF SINGLE L FINGER EXCEPT THUMB, INIT",6
T23.422D,"CORROS UNSP DEGREE OF SINGLE L FINGER EXCEPT THUMB, SUBS",1
T23.429A,"CORROS UNSP DEGREE OF UNSP SINGLE FINGER EXCEPT THUMB, INIT",2
T23.431A,"CORROS UNSP DEG MULT RIGHT FNGR (NAIL), NOT INC THUMB, INIT",6
T23.432A,"CORROS UNSP DEG MULT LEFT FNGR (NAIL), NOT INC THUMB, INIT",6
T23.441A,"CORROS UNSP DEG MULT RIGHT FINGERS (NAIL), INC THUMB, INIT",9
T23.442A,"CORROS UNSP DEG MULT LEFT FINGERS (NAIL), INC THUMB, INIT",4
T23.451A,"CORROSION OF UNSPECIFIED DEGREE OF RIGHT PALM, INIT ENCNTR",10
T23.452A,"CORROSION OF UNSPECIFIED DEGREE OF LEFT PALM, INIT ENCNTR",13
T23.461A,"CORROSION OF UNSP DEGREE OF BACK OF RIGHT HAND, INIT ENCNTR",9
T23.462A,"CORROSION OF UNSP DEGREE OF BACK OF LEFT HAND, INIT ENCNTR",6
T23.471A,"CORROSION OF UNSPECIFIED DEGREE OF RIGHT WRIST, INIT ENCNTR",13
T23.472A,"CORROSION OF UNSPECIFIED DEGREE OF LEFT WRIST, INIT ENCNTR",6
T23.491A,"CORROSION OF UNSP DEG MULT SITES OF RIGHT WRS/HND, INIT",4
T23.492A,"CORROSION OF UNSP DEG MULT SITES OF LEFT WRS/HND, INIT",4
T23.501A,"CORROSION OF FIRST DEGREE OF RIGHT HAND, UNSP SITE, INIT",16
T23.502A,"CORROSION OF FIRST DEGREE OF LEFT HAND, UNSP SITE, INIT",15
T23.509A,"CORROSION OF FIRST DEGREE OF UNSP HAND, UNSP SITE, INIT",1
T23.511A,"CORROSION OF FIRST DEGREE OF RIGHT THUMB (NAIL), INIT ENCNTR",1
T23.512A,"CORROSION OF FIRST DEGREE OF LEFT THUMB (NAIL), INIT ENCNTR",3
T23.521A,"CORROS FIRST DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",4
T23.522A,"CORROS FIRST DEGREE OF SINGLE L FINGER EXCEPT THUMB, INIT",4
T23.531A,"CORROS FIRST DEG MULT RIGHT FNGR (NAIL), NOT INC THUMB, INIT",3
T23.532A,"CORROS FIRST DEG MULT LEFT FNGR (NAIL), NOT INC THUMB, INIT",2
T23.539A,"CORROS FIRST DEGREE OF UNSP MULT FNGR, NOT INC THUMB, INIT",1
T23.541A,"CORROS FIRST DEG MULT RIGHT FINGERS (NAIL), INC THUMB, INIT",3
T23.542A,"CORROS FIRST DEG MULT LEFT FINGERS (NAIL), INC THUMB, INIT",4
T23.551A,"CORROSION OF FIRST DEGREE OF RIGHT PALM, INITIAL ENCOUNTER",4
T23.552A,"CORROSION OF FIRST DEGREE OF LEFT PALM, INITIAL ENCOUNTER",4
T23.561A,"CORROSION OF FIRST DEGREE OF BACK OF RIGHT HAND, INIT ENCNTR",8
T23.562A,"CORROSION OF FIRST DEGREE OF BACK OF LEFT HAND, INIT ENCNTR",8
T23.571A,"CORROSION OF FIRST DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",8
T23.572A,"CORROSION OF FIRST DEGREE OF LEFT WRIST, INITIAL ENCOUNTER",7
T23.591A,"CORROSION OF FIRST DEG MULT SITES OF RIGHT WRS/HND, INIT",1
T23.592A,"CORROSION OF FIRST DEG MULT SITES OF LEFT WRS/HND, INIT",2
T23.601A,"CORROSION OF SECOND DEGREE OF RIGHT HAND, UNSP SITE, INIT",13
T23.601D,"CORROSION OF SECOND DEGREE OF RIGHT HAND, UNSP SITE, SUBS",3
T23.602A,"CORROSION OF SECOND DEGREE OF LEFT HAND, UNSP SITE, INIT",19
T23.602D,"CORROSION OF SECOND DEGREE OF LEFT HAND, UNSP SITE, SUBS",3
T23.611A,"CORROSION OF SECOND DEGREE OF RIGHT THUMB (NAIL), INIT",1
T23.612A,"CORROSION OF SECOND DEGREE OF LEFT THUMB (NAIL), INIT ENCNTR",1
T23.621A,"CORROS SECOND DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",7
T23.621D,"CORROS SECOND DEGREE OF SINGLE R FINGER EXCEPT THUMB, SUBS",2
T23.622A,"CORROS SECOND DEGREE OF SINGLE L FINGER EXCEPT THUMB, INIT",4
T23.631A,"CORROS 2ND DEG MUL RIGHT FINGERS (NAIL), NOT INC THUMB, INIT",10
T23.632A,"CORROS 2ND DEG MUL LEFT FINGERS (NAIL), NOT INC THUMB, INIT",5
T23.641A,"CORROS 2ND DEG MUL RIGHT FINGERS (NAIL), INC THUMB, INIT",4
T23.642A,"CORROS 2ND DEG MUL LEFT FINGERS (NAIL), INC THUMB, INIT",3
T23.651A,"CORROSION OF SECOND DEGREE OF RIGHT PALM, INITIAL ENCOUNTER",8
T23.651D,"CORROSION OF SECOND DEGREE OF RIGHT PALM, SUBS ENCNTR",1
T23.652A,"CORROSION OF SECOND DEGREE OF LEFT PALM, INITIAL ENCOUNTER",5
T23.652D,"CORROSION OF SECOND DEGREE OF LEFT PALM, SUBS ENCNTR",1
T23.661A,"CORROSION OF SECOND DEGREE BACK OF RIGHT HAND, INIT ENCNTR",7
T23.662A,"CORROSION OF SECOND DEGREE BACK OF LEFT HAND, INIT ENCNTR",6
T23.671A,"CORROSION OF SECOND DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",5
T23.672A,"CORROSION OF SECOND DEGREE OF LEFT WRIST, INITIAL ENCOUNTER",6
T23.691A,"CORROSION OF 2ND DEG MUL SITES OF RIGHT WRIST AND HAND, INIT",4
T23.692A,"CORROSION OF 2ND DEG MUL SITES OF LEFT WRIST AND HAND, INIT",6
T23.712A,"CORROSION OF THIRD DEGREE OF LEFT THUMB (NAIL), INIT ENCNTR",1
T23.721A,"CORROS THIRD DEGREE OF SINGLE R FINGER EXCEPT THUMB, INIT",2
T23.751D,"CORROSION OF THIRD DEGREE OF RIGHT PALM, SUBS ENCNTR",1
T23.761A,"CORROSION OF THIRD DEGREE OF BACK OF RIGHT HAND, INIT ENCNTR",2
T23.771A,"CORROSION OF THIRD DEGREE OF RIGHT WRIST, INITIAL ENCOUNTER",1
T24.001A,"BURN UNSP DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, INIT",186
T24.001D,"BURN UNSP DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SUBS",24
T24.001S,"BURN UNSP DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SQLA",3
T24.002A,"BURN UNSP DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, INIT",180
T24.002D,"BURN UNSP DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SUBS",52
T24.002S,"BURN UNSP DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SQLA",2
T24.009A,"BURN UNSP DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, INIT",21
T24.009S,"BURN UNSP DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, SQLA",1
T24.011A,"BURN OF UNSPECIFIED DEGREE OF RIGHT THIGH, INITIAL ENCOUNTER",231
T24.011D,"BURN OF UNSPECIFIED DEGREE OF RIGHT THIGH, SUBS ENCNTR",28
T24.011S,"BURN OF UNSPECIFIED DEGREE OF RIGHT THIGH, SEQUELA",2
T24.012A,"BURN OF UNSPECIFIED DEGREE OF LEFT THIGH, INITIAL ENCOUNTER",206
T24.012D,"BURN OF UNSPECIFIED DEGREE OF LEFT THIGH, SUBS ENCNTR",31
T24.012S,"BURN OF UNSPECIFIED DEGREE OF LEFT THIGH, SEQUELA",1
T24.019A,"BURN OF UNSPECIFIED DEGREE OF UNSPECIFIED THIGH, INIT ENCNTR",5
T24.019D,"BURN OF UNSPECIFIED DEGREE OF UNSPECIFIED THIGH, SUBS ENCNTR",3
T24.021A,"BURN OF UNSPECIFIED DEGREE OF RIGHT KNEE, INITIAL ENCOUNTER",38
T24.021D,"BURN OF UNSPECIFIED DEGREE OF RIGHT KNEE, SUBS ENCNTR",7
T24.022A,"BURN OF UNSPECIFIED DEGREE OF LEFT KNEE, INITIAL ENCOUNTER",41
T24.022D,"BURN OF UNSPECIFIED DEGREE OF LEFT KNEE, SUBS ENCNTR",4
T24.029A,"BURN OF UNSPECIFIED DEGREE OF UNSPECIFIED KNEE, INIT ENCNTR",2
T24.031A,"BURN OF UNSPECIFIED DEGREE OF RIGHT LOWER LEG, INIT ENCNTR",129
T24.031D,"BURN OF UNSPECIFIED DEGREE OF RIGHT LOWER LEG, SUBS ENCNTR",37
T24.031S,"BURN OF UNSPECIFIED DEGREE OF RIGHT LOWER LEG, SEQUELA",1
T24.032A,"BURN OF UNSPECIFIED DEGREE OF LEFT LOWER LEG, INIT ENCNTR",98
T24.032D,"BURN OF UNSPECIFIED DEGREE OF LEFT LOWER LEG, SUBS ENCNTR",29
T24.032S,"BURN OF UNSPECIFIED DEGREE OF LEFT LOWER LEG, SEQUELA",1
T24.039A,"BURN OF UNSP DEGREE OF UNSPECIFIED LOWER LEG, INIT ENCNTR",2
T24.091A,"BURN UNSP DEG MULT SITES OF RIGHT LOW LIMB, EX ANK/FT, INIT",12
T24.091D,"BURN UNSP DEG MULT SITES OF RIGHT LOW LIMB, EX ANK/FT, SUBS",3
T24.091S,"BURN UNSP DEG MULT SITES OF RIGHT LOW LIMB, EX ANK/FT, SQLA",3
T24.092A,"BURN UNSP DEG MULT SITES OF LEFT LOWER LIMB, EX ANK/FT, INIT",16
T24.092D,"BURN UNSP DEG MULT SITES OF LEFT LOWER LIMB, EX ANK/FT, SUBS",2
T24.092S,"BURN UNSP DEG MULT SITES OF LEFT LOWER LIMB, EX ANK/FT, SQLA",3
T24.101A,"BURN 1ST DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, INIT",151
T24.101D,"BURN 1ST DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SUBS",2
T24.101S,"BURN 1ST DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SQLA",1
T24.102A,"BURN FIRST DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, INIT",148
T24.102D,"BURN FIRST DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SUBS",1
T24.109A,"BURN FIRST DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, INIT",2
T24.109S,"BURN FIRST DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, SQLA",1
T24.111A,"BURN OF FIRST DEGREE OF RIGHT THIGH, INITIAL ENCOUNTER",332
T24.111D,"BURN OF FIRST DEGREE OF RIGHT THIGH, SUBSEQUENT ENCOUNTER",3
T24.112A,"BURN OF FIRST DEGREE OF LEFT THIGH, INITIAL ENCOUNTER",294
T24.112D,"BURN OF FIRST DEGREE OF LEFT THIGH, SUBSEQUENT ENCOUNTER",5
T24.119A,"BURN OF FIRST DEGREE OF UNSPECIFIED THIGH, INITIAL ENCOUNTER",8
T24.121A,"BURN OF FIRST DEGREE OF RIGHT KNEE, INITIAL ENCOUNTER",38
T24.121D,"BURN OF FIRST DEGREE OF RIGHT KNEE, SUBSEQUENT ENCOUNTER",2
T24.122A,"BURN OF FIRST DEGREE OF LEFT KNEE, INITIAL ENCOUNTER",38
T24.122D,"BURN OF FIRST DEGREE OF LEFT KNEE, SUBSEQUENT ENCOUNTER",1
T24.131A,"BURN OF FIRST DEGREE OF RIGHT LOWER LEG, INITIAL ENCOUNTER",110
T24.131D,"BURN OF FIRST DEGREE OF RIGHT LOWER LEG, SUBS ENCNTR",7
T24.132A,"BURN OF FIRST DEGREE OF LEFT LOWER LEG, INITIAL ENCOUNTER",84
T24.132D,"BURN OF FIRST DEGREE OF LEFT LOWER LEG, SUBSEQUENT ENCOUNTER",5
T24.139A,"BURN OF FIRST DEGREE OF UNSPECIFIED LOWER LEG, INIT ENCNTR",1
T24.191A,"BURN 1ST DEG MULT SITES OF RIGHT LOWER LIMB, EX ANK/FT, INIT",9
T24.191D,"BURN 1ST DEG MULT SITES OF RIGHT LOWER LIMB, EX ANK/FT, SUBS",1
T24.192A,"BURN 1ST DEG MULT SITES OF LEFT LOWER LIMB, EX ANK/FT, INIT",13
T24.192D,"BURN 1ST DEG MULT SITES OF LEFT LOWER LIMB, EX ANK/FT, SUBS",1
T24.199A,"BURN 1ST DEG MULT SITES OF UNSP LOWER LIMB, EX ANK/FT, INIT",1
T24.201A,"BURN 2ND DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, INIT",558
T24.201D,"BURN 2ND DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SUBS",40
T24.201S,"BURN 2ND DEG OF UNSP SITE RIGHT LOWER LIMB, EX ANK/FT, SQLA",3
T24.202A,"BURN 2ND DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, INIT",604
T24.202D,"BURN 2ND DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SUBS",55
T24.202S,"BURN 2ND DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SQLA",1
T24.209A,"BURN 2ND DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, INIT",26
T24.211A,"BURN OF SECOND DEGREE OF RIGHT THIGH, INITIAL ENCOUNTER",1367
T24.211D,"BURN OF SECOND DEGREE OF RIGHT THIGH, SUBSEQUENT ENCOUNTER",57
T24.211S,"BURN OF SECOND DEGREE OF RIGHT THIGH, SEQUELA",3
T24.212A,"BURN OF SECOND DEGREE OF LEFT THIGH, INITIAL ENCOUNTER",1260
T24.212D,"BURN OF SECOND DEGREE OF LEFT THIGH, SUBSEQUENT ENCOUNTER",67
T24.212S,"BURN OF SECOND DEGREE OF LEFT THIGH, SEQUELA",6
T24.219A,"BURN OF SECOND DEGREE OF UNSPECIFIED THIGH, INIT ENCNTR",20
T24.219D,"BURN OF SECOND DEGREE OF UNSPECIFIED THIGH, SUBS ENCNTR",3
T24.219S,"BURN OF SECOND DEGREE OF UNSPECIFIED THIGH, SEQUELA",2
T24.221A,"BURN OF SECOND DEGREE OF RIGHT KNEE, INITIAL ENCOUNTER",154
T24.221D,"BURN OF SECOND DEGREE OF RIGHT KNEE, SUBSEQUENT ENCOUNTER",3
T24.222A,"BURN OF SECOND DEGREE OF LEFT KNEE, INITIAL ENCOUNTER",123
T24.222D,"BURN OF SECOND DEGREE OF LEFT KNEE, SUBSEQUENT ENCOUNTER",5
T24.229A,"BURN OF SECOND DEGREE OF UNSPECIFIED KNEE, INITIAL ENCOUNTER",3
T24.231A,"BURN OF SECOND DEGREE OF RIGHT LOWER LEG, INITIAL ENCOUNTER",470
T24.231D,"BURN OF SECOND DEGREE OF RIGHT LOWER LEG, SUBS ENCNTR",30
T24.231S,"BURN OF SECOND DEGREE OF RIGHT LOWER LEG, SEQUELA",1
T24.232A,"BURN OF SECOND DEGREE OF LEFT LOWER LEG, INITIAL ENCOUNTER",430
T24.232D,"BURN OF SECOND DEGREE OF LEFT LOWER LEG, SUBS ENCNTR",29
T24.232S,"BURN OF SECOND DEGREE OF LEFT LOWER LEG, SEQUELA",1
T24.239A,"BURN OF SECOND DEGREE OF UNSPECIFIED LOWER LEG, INIT ENCNTR",10
T24.291A,"BURN 2ND DEG MUL SITES OF RIGHT LOWER LIMB, EX ANK/FT, INIT",66
T24.291D,"BURN 2ND DEG MUL SITES OF RIGHT LOWER LIMB, EX ANK/FT, SUBS",4
T24.292A,"BURN 2ND DEG MUL SITES OF LEFT LOWER LIMB, EX ANK/FT, INIT",50
T24.292D,"BURN 2ND DEG MUL SITES OF LEFT LOWER LIMB, EX ANK/FT, SUBS",2
T24.299A,"BURN 2ND DEG MUL SITES OF UNSP LOWER LIMB, EX ANK/FT, INIT",3
T24.301A,"BURN THIRD DEG OF UNSP SITE RIGHT LOW LIMB, EX ANK/FT, INIT",50
T24.301D,"BURN THIRD DEG OF UNSP SITE RIGHT LOW LIMB, EX ANK/FT, SUBS",14
T24.301S,"BURN THIRD DEG OF UNSP SITE RIGHT LOW LIMB, EX ANK/FT, SQLA",2
T24.302A,"BURN THIRD DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, INIT",45
T24.302D,"BURN THIRD DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SUBS",9
T24.302S,"BURN THIRD DEG OF UNSP SITE LEFT LOWER LIMB, EX ANK/FT, SQLA",4
T24.309A,"BURN THIRD DEG OF UNSP SITE UNSP LOWER LIMB, EX ANK/FT, INIT",4
T24.311A,"BURN OF THIRD DEGREE OF RIGHT THIGH, INITIAL ENCOUNTER",59
T24.311D,"BURN OF THIRD DEGREE OF RIGHT THIGH, SUBSEQUENT ENCOUNTER",6
T24.311S,"BURN OF THIRD DEGREE OF RIGHT THIGH, SEQUELA",1
T24.312A,"BURN OF THIRD DEGREE OF LEFT THIGH, INITIAL ENCOUNTER",60
T24.312D,"BURN OF THIRD DEGREE OF LEFT THIGH, SUBSEQUENT ENCOUNTER",7
T24.312S,"BURN OF THIRD DEGREE OF LEFT THIGH, SEQUELA",1
