ICDCMCode,ExtCauseDesc,TotalEcm
X17.XXXS,"CONTACT WITH HOT ENGINES, MACHINERY AND TOOLS, SEQUELA",1
X18.XXXA,"CONTACT WITH OTHER HOT METALS, INITIAL ENCOUNTER",247
X18.XXXD,"CONTACT WITH OTHER HOT METALS, SUBSEQUENT ENCOUNTER",8
X18.XXXS,"CONTACT WITH OTHER HOT METALS, SEQUELA",2
X19.XXXA,"CONTACT WITH OTHER HEAT AND HOT SUBSTANCES, INIT ENCNTR",3126
X19.XXXD,"CONTACT WITH OTHER HEAT AND HOT SUBSTANCES, SUBS ENCNTR",121
X19.XXXS,"CONTACT WITH OTHER HEAT AND HOT SUBSTANCES, SEQUELA",9
X30.XXXA,"EXPOSURE TO EXCESSIVE NATURAL HEAT, INITIAL ENCOUNTER",2190
X30.XXXD,"EXPOSURE TO EXCESSIVE NATURAL HEAT, SUBSEQUENT ENCOUNTER",5
X30.XXXS,"EXPOSURE TO EXCESSIVE NATURAL HEAT, SEQUELA",1
X31.XXXA,"EXPOSURE TO EXCESSIVE NATURAL COLD, INITIAL ENCOUNTER",1457
X31.XXXD,"EXPOSURE TO EXCESSIVE NATURAL COLD, SUBSEQUENT ENCOUNTER",5
X31.XXXS,"EXPOSURE TO EXCESSIVE NATURAL COLD, SEQUELA",4
X32.XXXA,"EXPOSURE TO SUNLIGHT, INITIAL ENCOUNTER",548
X32.XXXD,"EXPOSURE TO SUNLIGHT, SUBSEQUENT ENCOUNTER",1
X32.XXXS,"EXPOSURE TO SUNLIGHT, SEQUELA",1
X34.XXXA,"EARTHQUAKE, INITIAL ENCOUNTER",8
X36.0XXA,"COLLAPSE OF DAM OR MAN-MADE STRUCT CAUSE EARTH MOVMNT, INIT",1
X36.1XXA,"AVALANCHE, LANDSLIDE, OR MUDSLIDE, INITIAL ENCOUNTER",14
X36.1XXS,"AVALANCHE, LANDSLIDE, OR MUDSLIDE, SEQUELA",1
X37.0XXA,"HURRICANE, INITIAL ENCOUNTER",1
X37.1XXA,"TORNADO, INITIAL ENCOUNTER",61
X37.1XXS,"TORNADO, SEQUELA",3
X37.2XXA,"BLIZZARD (SNOW)(ICE), INITIAL ENCOUNTER",5
X37.3XXA,"DUST STORM, INITIAL ENCOUNTER",5
X37.42XA,"TIDAL WAVE DUE TO STORM, INITIAL ENCOUNTER",1
X37.43XA,"TIDAL WAVE DUE TO LANDSLIDE, INITIAL ENCOUNTER",1
X37.8XXA,"OTHER CATACLYSMIC STORMS, INITIAL ENCOUNTER",9
X37.9XXA,"UNSPECIFIED CATACLYSMIC STORM, INITIAL ENCOUNTER",4
X38.XXXA,"FLOOD, INITIAL ENCOUNTER",3
X39.08XA,"EXPOSURE TO OTHER NATURAL RADIATION, INITIAL ENCOUNTER",1
X39.8XXA,"OTHER EXPOSURE TO FORCES OF NATURE, INITIAL ENCOUNTER",69
X50.0XXA,"OVEREXERTION FROM STRENUOUS MOVEMENT OR LOAD, INITIAL ENCOUNTER",64491
X50.0XXD,"OVEREXERTION FROM STRENUOUS MOVEMENT OR LOAD, SUBSEQUENT ENCOUNTER",299
X50.0XXS,"OVEREXERTION FROM STRENUOUS MOVEMENT OR LOAD, SEQUELA",41
X50.1XXA,"OVEREXERTION FROM PROLONGED STATIC OR AWKWARD POSTURES, INITIAL ENCOUNTER",79624
X50.1XXD,"OVEREXERTION FROM PROLONGED STATIC OR AWKWARD POSTURES, SUBSEQUENT ENCOUNTER",339
X50.1XXS,"OVEREXERTION FROM PROLONGED STATIC OR AWKWARD POSTURES, SEQUELA",28
X50.3XXA,"OVEREXERTION FROM REPETITIVE MOVEMENTS, INITIAL ENCOUNTER",5093
X50.3XXD,"OVEREXERTION FROM REPETITIVE MOVEMENTS, SUBSEQUENT ENCOUNTER",14
X50.3XXS,"OVEREXERTION FROM REPETITIVE MOVEMENTS, SEQUELA",4
X50.9XXA,"OTHER AND UNSPECIFIED OVEREXERTION OR STRENUOUS MOVEMENTS OR POSTURES, INITIAL ENCOUNTER",39082
X50.9XXD,"OTHER AND UNSPECIFIED OVEREXERTION OR STRENUOUS MOVEMENTS OR POSTURES, SUBSEQUENT ENCOUNTER",195
X50.9XXS,"OTHER AND UNSPECIFIED OVEREXERTION OR STRENUOUS MOVEMENTS OR POSTURES, SEQUELA",27
X52.XXXA,"PROLONGED STAY IN WEIGHTLESS ENVIRONMENT, INITIAL ENCOUNTER",2
X58.XXXA,"EXPOSURE TO OTHER SPECIFIED FACTORS, INITIAL ENCOUNTER",316690
X58.XXXD,"EXPOSURE TO OTHER SPECIFIED FACTORS, SUBSEQUENT ENCOUNTER",32370
X58.XXXS,"EXPOSURE TO OTHER SPECIFIED FACTORS, SEQUELA",1552
X71.0XXA,"INTENTIONAL SELF-HARM BY DROWN WHILE IN BATHTUB, INIT",6
X71.1XXA,"INTENTIONAL SELF-HARM BY DROWN WHILE IN SWIMMING POOL, INIT",4
X71.2XXA,"SELF-HARM BY DROWN AFTER JUMP INTO SWIMMING POOL, INIT",3
X71.3XXA,"INTENTIONAL SELF-HARM BY DROWN IN NATURAL WATER, INIT",13
X71.8XXA,"OTH INTENTIONAL SELF-HARM BY DROWNING AND SUBMERSION, INIT",4
X71.9XXA,"INTENTIONAL SELF-HARM BY DROWNING AND SUBMERSION, UNSP, INIT",1
X72.XXXA,"INTENTIONAL SELF-HARM BY HANDGUN DISCHARGE, INIT ENCNTR",21
X72.XXXD,"INTENTIONAL SELF-HARM BY HANDGUN DISCHARGE, SUBS ENCNTR",3
X73.0XXA,"INTENTIONAL SELF-HARM BY SHOTGUN DISCHARGE, INIT ENCNTR",4
X73.1XXA,"INTENTIONAL SELF-HARM BY HUNTING RIFLE DISCHARGE, INIT",1
X73.9XXA,"INTENTIONAL SELF-HARM BY UNSP LARGER FIREARM DISCHARGE, INIT",1
X74.01XA,"INTENTIONAL SELF-HARM BY AIRGUN, INITIAL ENCOUNTER",11
X74.8XXA,"INTENTIONAL SELF-HARM BY OTH FIREARM DISCHARGE, INIT ENCNTR",16
X74.8XXD,"INTENTIONAL SELF-HARM BY OTH FIREARM DISCHARGE, SUBS ENCNTR",2
X74.9XXA,"INTENTIONAL SELF-HARM BY UNSP FIREARM DISCHARGE, INIT ENCNTR",71
X74.9XXD,"INTENTIONAL SELF-HARM BY UNSP FIREARM DISCHARGE, SUBS ENCNTR",4
X74.9XXS,"INTENTIONAL SELF-HARM BY UNSP FIREARM DISCHARGE, SEQUELA",3
X75.XXXA,"INTENTIONAL SELF-HARM BY EXPLOSIVE MATERIAL, INIT ENCNTR",1
X76.XXXA,"INTENTIONAL SELF-HARM BY SMOKE, FIRE AND FLAMES, INIT ENCNTR",108
X76.XXXD,"INTENTIONAL SELF-HARM BY SMOKE, FIRE AND FLAMES, SUBS ENCNTR",5
X77.1XXA,"INTENTIONAL SELF-HARM BY HOT TAP WATER, INITIAL ENCOUNTER",2
X77.2XXA,"INTENTIONAL SELF-HARM BY OTHER HOT FLUIDS, INITIAL ENCOUNTER",2
X77.3XXA,"INTENTIONAL SELF-HARM BY HOT HOUSEHOLD APPLIANCES, INIT",8
X77.8XXA,"INTENTIONAL SELF-HARM BY OTHER HOT OBJECTS, INIT ENCNTR",17
X77.9XXA,"INTENTIONAL SELF-HARM BY UNSP HOT OBJECTS, INIT ENCNTR",6
X78.0XXA,"INTENTIONAL SELF-HARM BY SHARP GLASS, INITIAL ENCOUNTER",623
X78.0XXD,"INTENTIONAL SELF-HARM BY SHARP GLASS, SUBSEQUENT ENCOUNTER",8
X78.1XXA,"INTENTIONAL SELF-HARM BY KNIFE, INITIAL ENCOUNTER",2199
X78.1XXD,"INTENTIONAL SELF-HARM BY KNIFE, SUBSEQUENT ENCOUNTER",40
X78.1XXS,"INTENTIONAL SELF-HARM BY KNIFE, SEQUELA",1
X78.2XXA,"INTENTIONAL SELF-HARM BY SWORD OR DAGGER, INITIAL ENCOUNTER",3
X78.2XXS,"INTENTIONAL SELF-HARM BY SWORD OR DAGGER, SEQUELA",3
X78.8XXA,"INTENTIONAL SELF-HARM BY OTHER SHARP OBJECT, INIT ENCNTR",3252
X78.8XXD,"INTENTIONAL SELF-HARM BY OTHER SHARP OBJECT, SUBS ENCNTR",32
X78.8XXS,"INTENTIONAL SELF-HARM BY OTHER SHARP OBJECT, SEQUELA",1
X78.9XXA,"INTENTIONAL SELF-HARM BY UNSP SHARP OBJECT, INIT ENCNTR",4151
X78.9XXD,"INTENTIONAL SELF-HARM BY UNSP SHARP OBJECT, SUBS ENCNTR",94
X78.9XXS,"INTENTIONAL SELF-HARM BY UNSPECIFIED SHARP OBJECT, SEQUELA",5
X79.XXXA,"INTENTIONAL SELF-HARM BY BLUNT OBJECT, INITIAL ENCOUNTER",254
X79.XXXD,"INTENTIONAL SELF-HARM BY BLUNT OBJECT, SUBSEQUENT ENCOUNTER",2
X80.XXXA,"INTENTIONAL SELF-HARM BY JUMPING FROM A HIGH PLACE, INIT",136
X80.XXXD,"INTENTIONAL SELF-HARM BY JUMPING FROM A HIGH PLACE, SUBS",9
X81.0XXA,"SELF-HARM BY JUMPING OR LYING IN FRONT OF MTR VEH, INIT",128
X81.0XXD,"SELF-HARM BY JUMPING OR LYING IN FRONT OF MTR VEH, SUBS",1
X81.1XXA,"SLF-HRM BY JUMPING OR LYING IN FRONT OF (SUBWAY) TRAIN, INIT",11
X81.8XXA,"SLF-HRM BY JUMPING OR LYING IN FRONT OF MOVING OBJECT, INIT",66
X82.0XXA,"INTENTIONAL COLLISION OF MOTOR VEHICLE W MTR VEH, INIT",17
X82.1XXA,"INTENTIONAL COLLISION OF MOTOR VEHICLE W TRAIN, INIT ENCNTR",1
X82.2XXA,"INTENTIONAL COLLISION OF MOTOR VEHICLE W TREE, INIT ENCNTR",11
X82.8XXA,"OTH INTENTIONAL SELF-HARM BY CRASHING OF MOTOR VEHICLE, INIT",35
X83.1XXA,"INTENTIONAL SELF-HARM BY ELECTROCUTION, INITIAL ENCOUNTER",8
X83.2XXA,"INTENTIONAL SELF-HARM BY EXPOSURE TO EXTREMES OF COLD, INIT",3
X83.8XXA,"INTENTIONAL SELF-HARM BY OTHER SPECIFIED MEANS, INIT ENCNTR",3193
X83.8XXD,"INTENTIONAL SELF-HARM BY OTHER SPECIFIED MEANS, SUBS ENCNTR",36
X83.8XXS,"INTENTIONAL SELF-HARM BY OTHER SPECIFIED MEANS, SEQUELA",5
X92.0XXA,"ASSAULT BY DROWNING AND SUBMERSION WHILE IN BATHTUB, INIT",1
X92.2XXA,"ASSAULT BY DROWN AFTER PUSH INTO SWIMMING POOL, INIT",2
X92.3XXA,"ASSAULT BY DROWNING AND SUBMERSION IN NATURAL WATER, INIT",1
X92.9XXA,"ASSAULT BY DROWNING AND SUBMERSION, UNSPECIFIED, INIT ENCNTR",1
X93.XXXA,"ASSAULT BY HANDGUN DISCHARGE, INITIAL ENCOUNTER",202
X93.XXXD,"ASSAULT BY HANDGUN DISCHARGE, SUBSEQUENT ENCOUNTER",16
X93.XXXS,"ASSAULT BY HANDGUN DISCHARGE, SEQUELA",9
X94.0XXA,"ASSAULT BY SHOTGUN, INITIAL ENCOUNTER",51
X94.0XXS,"ASSAULT BY SHOTGUN, SEQUELA",3
X94.1XXA,"ASSAULT BY HUNTING RIFLE, INITIAL ENCOUNTER",1
X94.2XXA,"ASSAULT BY MACHINE GUN, INITIAL ENCOUNTER",2
X94.8XXA,"ASSAULT BY OTHER LARGER FIREARM DISCHARGE, INITIAL ENCOUNTER",1
X94.9XXA,"ASSAULT BY UNSPECIFIED LARGER FIREARM DISCHARGE, INIT ENCNTR",1
X95.01XA,"ASSAULT BY AIRGUN DISCHARGE, INITIAL ENCOUNTER",158
X95.01XD,"ASSAULT BY AIRGUN DISCHARGE, SUBSEQUENT ENCOUNTER",6
X95.02XA,"ASSAULT BY PAINTBALL GUN DISCHARGE, INITIAL ENCOUNTER",8
X95.09XA,"ASSAULT BY OTH GAS, AIR OR SPRING-OPERATED GUN, INIT ENCNTR",1
X95.8XXA,"ASSAULT BY OTHER FIREARM DISCHARGE, INITIAL ENCOUNTER",166
X95.8XXD,"ASSAULT BY OTHER FIREARM DISCHARGE, SUBSEQUENT ENCOUNTER",23
X95.9XXA,"ASSAULT BY UNSPECIFIED FIREARM DISCHARGE, INITIAL ENCOUNTER",1727
X95.9XXD,"ASSAULT BY UNSPECIFIED FIREARM DISCHARGE, SUBS ENCNTR",161
X95.9XXS,"ASSAULT BY UNSPECIFIED FIREARM DISCHARGE, SEQUELA",113
X96.1XXA,"ASSAULT BY GASOLINE BOMB, INITIAL ENCOUNTER",2
X96.4XXA,"ASSAULT BY PIPE BOMB, INITIAL ENCOUNTER",3
X96.8XXA,"ASSAULT BY OTHER SPECIFIED EXPLOSIVE, INITIAL ENCOUNTER",7
X96.9XXA,"ASSAULT BY UNSPECIFIED EXPLOSIVE, INITIAL ENCOUNTER",2
X97.XXXA,"ASSAULT BY SMOKE, FIRE AND FLAMES, INITIAL ENCOUNTER",66
X97.XXXS,"ASSAULT BY SMOKE, FIRE AND FLAMES, SEQUELA",1
X98.1XXA,"ASSAULT BY HOT TAP WATER, INITIAL ENCOUNTER",23
X98.2XXA,"ASSAULT BY HOT FLUIDS, INITIAL ENCOUNTER",32
X98.2XXS,"ASSAULT BY HOT FLUIDS, SEQUELA",1
X98.8XXA,"ASSAULT BY OTHER HOT OBJECTS, INITIAL ENCOUNTER",17
X98.9XXA,"ASSAULT BY UNSPECIFIED HOT OBJECTS, INITIAL ENCOUNTER",2
X99.0XXA,"ASSAULT BY SHARP GLASS, INITIAL ENCOUNTER",638
X99.0XXD,"ASSAULT BY SHARP GLASS, SUBSEQUENT ENCOUNTER",18
X99.0XXS,"ASSAULT BY SHARP GLASS, SEQUELA",1
X99.1XXA,"ASSAULT BY KNIFE, INITIAL ENCOUNTER",2493
X99.1XXD,"ASSAULT BY KNIFE, SUBSEQUENT ENCOUNTER",119
X99.1XXS,"ASSAULT BY KNIFE, SEQUELA",6
X99.2XXA,"ASSAULT BY SWORD OR DAGGER, INITIAL ENCOUNTER",43
X99.2XXD,"ASSAULT BY SWORD OR DAGGER, SUBSEQUENT ENCOUNTER",1
X99.8XXA,"ASSAULT BY OTHER SHARP OBJECT, INITIAL ENCOUNTER",939
X99.8XXD,"ASSAULT BY OTHER SHARP OBJECT, SUBSEQUENT ENCOUNTER",37
X99.9XXA,"ASSAULT BY UNSPECIFIED SHARP OBJECT, INITIAL ENCOUNTER",1695
X99.9XXD,"ASSAULT BY UNSPECIFIED SHARP OBJECT, SUBSEQUENT ENCOUNTER",169
X99.9XXS,"ASSAULT BY UNSPECIFIED SHARP OBJECT, SEQUELA",4
Y00.XXXA,"ASSAULT BY BLUNT OBJECT, INITIAL ENCOUNTER",7677
Y00.XXXD,"ASSAULT BY BLUNT OBJECT, SUBSEQUENT ENCOUNTER",155
Y00.XXXS,"ASSAULT BY BLUNT OBJECT, SEQUELA",10
Y01.XXXA,"ASSAULT BY PUSHING FROM HIGH PLACE, INITIAL ENCOUNTER",93
Y01.XXXD,"ASSAULT BY PUSHING FROM HIGH PLACE, SUBSEQUENT ENCOUNTER",1
Y02.0XXA,"ASSAULT BY PUSH/PLACE VICTIM IN FRONT OF MOTOR VEHICLE, INIT",30
Y02.1XXA,"ASSAULT BY PUSH/PLACE VICTIM IN FRONT OF TRAIN, INIT",2
Y02.8XXA,"ASSAULT BY PUSH/PLACE VICTIM IN FRONT OF MOVING OBJECT, INIT",21
Y03.0XXA,"ASSAULT BY BEING HIT OR RUN OVER BY MOTOR VEHICLE, INIT",234
Y03.0XXD,"ASSAULT BY BEING HIT OR RUN OVER BY MOTOR VEHICLE, SUBS",4
Y03.8XXA,"OTHER ASSAULT BY CRASHING OF MOTOR VEHICLE, INIT ENCNTR",42
Y04.0XXA,"ASSAULT BY UNARMED BRAWL OR FIGHT, INITIAL ENCOUNTER",37525
Y04.0XXD,"ASSAULT BY UNARMED BRAWL OR FIGHT, SUBSEQUENT ENCOUNTER",531
Y04.0XXS,"ASSAULT BY UNARMED BRAWL OR FIGHT, SEQUELA",26
Y04.1XXA,"ASSAULT BY HUMAN BITE, INITIAL ENCOUNTER",3333
Y04.1XXD,"ASSAULT BY HUMAN BITE, SUBSEQUENT ENCOUNTER",57
Y04.1XXS,"ASSAULT BY HUMAN BITE, SEQUELA",5
Y04.2XXA,"ASSLT BY STRIKE AGNST OR BUMPED INTO BY ANOTHER PERSON, INIT",23370
Y04.2XXD,"ASSLT BY STRIKE AGNST OR BUMPED INTO BY ANOTHER PERSON, SUBS",229
Y04.2XXS,"ASSLT BY STRIKE AGNST OR BUMPED INTO BY ANOTHER PERSON, SQLA",10
Y04.8XXA,"ASSAULT BY OTHER BODILY FORCE, INITIAL ENCOUNTER",22926
Y04.8XXD,"ASSAULT BY OTHER BODILY FORCE, SUBSEQUENT ENCOUNTER",320
Y04.8XXS,"ASSAULT BY OTHER BODILY FORCE, SEQUELA",22
Y07.01,"HUSBAND, PERPETRATOR OF MALTREATMENT AND NEGLECT",190
Y07.010,"HUSBAND, CURRENT, PERPETRATOR OF MALTREATMENT AND NEGLECT",541
Y07.011,"HUSBAND, FORMER, PERPETRATOR OF MALTREATMENT AND NEGLECT",50
Y07.02,"WIFE, PERPETRATOR OF MALTREATMENT AND NEGLECT",14
Y07.020,"WIFE, CURRENT, PERPETRATOR OF MALTREATMENT AND NEGLECT",58
Y07.021,"WIFE, FORMER, PERPETRATOR OF MALTREATMENT AND NEGLECT",2
Y07.03,"MALE PARTNER, PERPETRATOR OF MALTREATMENT AND NEGLECT",409
Y07.030,"MALE PARTNER, CURRENT, PERPETRATOR OF MALTREAT AND NEGLECT",989
Y07.031,"MALE PARTNER, FORMER, PERPETRATOR OF MALTREAT AND NEGLECT",345
Y07.04,"FEMALE PARTNER, PERPETRATOR OF MALTREATMENT AND NEGLECT",29
Y07.040,"FEMALE PARTNER, CURRENT, PERPETRATOR OF MALTREAT AND NEGLECT",81
Y07.041,"FEMALE PARTNER, FORMER, PERPETRATOR OF MALTREAT AND NEGLECT",24
Y07.050,"NON-BINARY PARTNER, CURRENT, PERP OF MALTREAT AND NEGLECT",12
Y07.051,"NON-BINARY PARTNER, FORMER, PERP OF MALTREAT AND NEGLECT",5
Y07.11,"BIOLOGICAL FATHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",263
Y07.12,"BIOLOGICAL MOTHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",149
Y07.13,"ADOPTIVE FATHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",4
Y07.14,"ADOPTIVE MOTHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",2
Y07.410,"BROTHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",117
Y07.411,"SISTER, PERPETRATOR OF MALTREATMENT AND NEGLECT",59
Y07.420,"FOSTER FATHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",1
Y07.421,"FOSTER MOTHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",2
Y07.430,"STEPFATHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",41
Y07.432,"MALE FRIEND OF PARENT, PERPETRATOR OF MALTREAT AND NEGLECT",20
Y07.433,"STEPMOTHER, PERPETRATOR OF MALTREATMENT AND NEGLECT",8
Y07.434,"FEMALE FRIEND OF PARENT, PERP OF MALTREAT AND NEGLECT",1
Y07.435,"STEPBROTHER, PERPETRATOR OR MALTREATMENT AND NEGLECT",8
Y07.436,"STEPSISTER, PERPETRATOR OF MALTREATMENT AND NEGLECT",4
Y07.44,"CHILD, PERPETRATOR OF MALTREATMENT AND NEGLECT",135
Y07.45,"GRANDCHILD,  PERPETRATOR OF MALTREATMENT AND NEGLECT",11
Y07.46,"GRANDPARENT, PERPETRATOR OF MALTREATMENT AND NEGLECT",15
Y07.47,"PARENTAL SIBLING, PERPETRATOR OF MALTREATMENT AND NEGLECT",29
Y07.490,"MALE COUSIN, PERPETRATOR OF MALTREATMENT AND NEGLECT",26
Y07.491,"FEMALE COUSIN, PERPETRATOR OF MALTREATMENT AND NEGLECT",4
Y07.499,"OTHER FAMILY MEMBER, PERPETRATOR OF MALTREATMENT AND NEGLECT",234
Y07.50,"UNSP NON-FAMILY MEMBER, PERPETRATOR OF MALTREAT AND NEGLECT",180
Y07.510,"AT-HOME CHILDCARE PROVIDER, PERP OF MALTREAT AND NEGLECT",17
Y07.511,"DAYCARE CENTER CHILDCARE PROV, PERP OF MALTREAT AND NEGLECT",4
Y07.512,"AT-HOME ADULTCARE PROVIDER, PERP OF MALTREAT AND NEGLECT",7
Y07.513,"ADULTCARE CENTER PROVIDER, PERP OF MALTREAT AND NEGLECT",2
Y07.519,"UNSP DAYCARE PROVIDER, PERPETRATOR OF MALTREAT AND NEGLECT",10
Y07.521,"MENTAL HEALTH PROVIDER, PERPETRATOR OF MALTREAT AND NEGLECT",5
Y07.528,"OTH THERAPIST OR HEALTHCARE PROV, PERP OF MALTREAT & NEGLECT",5
Y07.529,"UNSP HEALTHCARE PROVIDER, PERP OF MALTREAT AND NEGLECT",2
Y07.53,"TEACHER OR INSTRUCTOR, PERPETRATOR OF MALTREAT AND NEGLECT",6
Y07.54,"ACQUAINTANCE OR FRIEND, PERPETRATOR OF MALTREAT AND NEGLECT",238
Y07.59,"OTH NON-FAMILY MEMBER, PERPETRATOR OF MALTREAT AND NEGLECT",365
Y07.6,MULTIPLE PERPETRATORS OF MALTREATMENT AND NEGLECT,75
Y07.9,UNSPECIFIED PERPETRATOR OF MALTREATMENT AND NEGLECT,1074
Y08.01XA,"ASSAULT BY STRIKE BY HOCKEY STICK, INITIAL ENCOUNTER",13
Y08.02XA,"ASSAULT BY STRIKE BY BASEBALL BAT, INITIAL ENCOUNTER",929
Y08.02XD,"ASSAULT BY STRIKE BY BASEBALL BAT, SUBSEQUENT ENCOUNTER",28
Y08.09XA,"ASSAULT BY STRIKE BY OTH TYPE OF SPORT EQUIPMENT, INIT",472
Y08.09XD,"ASSAULT BY STRIKE BY OTH TYPE OF SPORT EQUIPMENT, SUBS",7
Y08.89XA,"ASSAULT BY OTHER SPECIFIED MEANS, INITIAL ENCOUNTER",6461
Y08.89XD,"ASSAULT BY OTHER SPECIFIED MEANS, SUBSEQUENT ENCOUNTER",161
Y08.89XS,"ASSAULT BY OTHER SPECIFIED MEANS, SEQUELA",9
Y09.,ASSAULT BY UNSPECIFIED MEANS,11621
Y21.0XXA,"DROWN WHILE IN BATHTUB, UNDETERMINED INTENT, INIT",2
Y21.1XXA,"DROWN AFTER FALL INTO BATHTUB, UNDETERMINED INTENT, INIT",1
Y21.2XXA,"DROWN WHILE IN SWIMMING POOL, UNDETERMINED INTENT, INIT",1
Y21.3XXA,"DROWN AFTER FALL INTO SWIMMING POOL, UNDET INTENT, INIT",6
Y21.4XXA,"DROWN IN NATURAL WATER, UNDETERMINED INTENT, INIT",1
Y21.9XXA,"UNSP DROWNING AND SUBMERSION, UNDETERMINED INTENT, INIT",1
Y22.XXXA,"HANDGUN DISCHARGE, UNDETERMINED INTENT, INITIAL ENCOUNTER",17
Y22.XXXD,"HANDGUN DISCHARGE, UNDETERMINED INTENT, SUBSEQUENT ENCOUNTER",1
Y22.XXXS,"HANDGUN DISCHARGE, UNDETERMINED INTENT, SEQUELA",1
Y23.0XXA,"SHOTGUN DISCHARGE, UNDETERMINED INTENT, INITIAL ENCOUNTER",5
Y24.0XXA,"AIRGUN DISCHARGE, UNDETERMINED INTENT, INITIAL ENCOUNTER",31
Y24.0XXD,"AIRGUN DISCHARGE, UNDETERMINED INTENT, SUBSEQUENT ENCOUNTER",1
Y24.0XXS,"AIRGUN DISCHARGE, UNDETERMINED INTENT, SEQUELA",2
Y24.8XXA,"OTHER FIREARM DISCHARGE, UNDETERMINED INTENT, INIT ENCNTR",15
Y24.8XXD,"OTHER FIREARM DISCHARGE, UNDETERMINED INTENT, SUBS ENCNTR",1
Y24.9XXA,"UNSP FIREARM DISCHARGE, UNDETERMINED INTENT, INIT ENCNTR",310
Y24.9XXD,"UNSP FIREARM DISCHARGE, UNDETERMINED INTENT, SUBS ENCNTR",51
Y24.9XXS,"UNSPECIFIED FIREARM DISCHARGE, UNDETERMINED INTENT, SEQUELA",39
Y25.XXXA,"CONTACT W EXPLOSIVE MATERIAL, UNDETERMINED INTENT, INIT",4
Y26.XXXA,"EXPOSURE TO SMOKE, FIRE AND FLAMES, UNDET INTENT, INIT",38
Y26.XXXD,"EXPOSURE TO SMOKE, FIRE AND FLAMES, UNDET INTENT, SUBS",1
Y27.0XXA,"CONTACT W STEAM AND HOT VAPORS, UNDETERMINED INTENT, INIT",7
Y27.1XXA,"CONTACT WITH HOT TAP WATER, UNDETERMINED INTENT, INIT ENCNTR",10
Y27.1XXD,"CONTACT WITH HOT TAP WATER, UNDETERMINED INTENT, SUBS ENCNTR",1
Y27.2XXA,"CONTACT WITH HOT FLUIDS, UNDETERMINED INTENT, INIT ENCNTR",64
Y27.2XXD,"CONTACT WITH HOT FLUIDS, UNDETERMINED INTENT, SUBS ENCNTR",4
Y27.3XXA,"CONTACT W HOT HOUSEHOLD APPLIANCE, UNDETERMINED INTENT, INIT",25
Y27.8XXA,"CONTACT W OTH HOT OBJECTS, UNDETERMINED INTENT, INIT ENCNTR",43
Y27.8XXD,"CONTACT W OTH HOT OBJECTS, UNDETERMINED INTENT, SUBS ENCNTR",2
Y27.9XXA,"CONTACT W UNSP HOT OBJECTS, UNDETERMINED INTENT, INIT ENCNTR",8
Y27.9XXD,"CONTACT W UNSP HOT OBJECTS, UNDETERMINED INTENT, SUBS ENCNTR",1
Y28.0XXA,"CONTACT WITH SHARP GLASS, UNDETERMINED INTENT, INIT ENCNTR",111
Y28.0XXD,"CONTACT WITH SHARP GLASS, UNDETERMINED INTENT, SUBS ENCNTR",6
Y28.1XXA,"CONTACT WITH KNIFE, UNDETERMINED INTENT, INITIAL ENCOUNTER",38
Y28.1XXD,"CONTACT WITH KNIFE, UNDETERMINED INTENT, SUBS ENCNTR",1
Y28.2XXA,"CONTACT W SWORD OR DAGGER, UNDETERMINED INTENT, INIT ENCNTR",1
Y28.8XXA,"CONTACT W OTH SHARP OBJECT, UNDETERMINED INTENT, INIT ENCNTR",107
Y28.8XXD,"CONTACT W OTH SHARP OBJECT, UNDETERMINED INTENT, SUBS ENCNTR",4
Y28.8XXS,"CONTACT WITH OTH SHARP OBJECT, UNDETERMINED INTENT, SEQUELA",1
Y28.9XXA,"CONTACT W UNSP SHARP OBJECT, UNDETERMINED INTENT, INIT",135
Y28.9XXD,"CONTACT W UNSP SHARP OBJECT, UNDETERMINED INTENT, SUBS",10
Y28.9XXS,"CONTACT WITH UNSP SHARP OBJECT, UNDETERMINED INTENT, SEQUELA",3
Y29.XXXA,"CONTACT WITH BLUNT OBJECT, UNDETERMINED INTENT, INIT ENCNTR",375
Y29.XXXD,"CONTACT WITH BLUNT OBJECT, UNDETERMINED INTENT, SUBS ENCNTR",8
Y29.XXXS,"CONTACT WITH BLUNT OBJECT, UNDETERMINED INTENT, SEQUELA",1
Y30.XXXA,"FALL, JUMP OR PUSHED FROM A HIGH PLACE, UNDET INTENT, INIT",530
Y30.XXXD,"FALL, JUMP OR PUSHED FROM A HIGH PLACE, UNDET INTENT, SUBS",6
Y30.XXXS,"FALL, JUMP OR PUSHED FROM A HIGH PLACE, UNDET INTENT, SQLA",2
Y31.XXXA,"FALL/LYING/RUNNING BEF/INTO MOVING OBJ, UNDET INTENT, INIT",26
Y32.XXXA,"CRASHING OF MOTOR VEHICLE, UNDETERMINED INTENT, INIT ENCNTR",110
Y32.XXXD,"CRASHING OF MOTOR VEHICLE, UNDETERMINED INTENT, SUBS ENCNTR",3
